XM_025152649.1	LOC112532827
XM_025152753.1	LOC107049475
XM_025152751.1	LOC107049475
XM_025152757.1	LOC107049475
XM_015273091.2	LOC107049475
XR_001461859.2	LOC107049475
XR_001461861.2	LOC107049475
XR_001461860.2	LOC107049475
XR_001461862.2	LOC107049475
XM_025152758.1	LOC107049475
XR_003076322.1	CLC2DL5
XR_003076321.1	CLC2DL5
XM_015273089.2	CLC2DL5
XM_025152700.1	LOC112532835
XM_025152702.1	LOC112532835
XM_025152731.1	CLC2DL5
XM_004950926.3	CLC2DL5
XR_001461866.2	CLC2DL2
XM_015273092.2	CLC2DL4
XM_025152784.1	CLC2DL4
XM_025152778.1	CLC2DL4
XM_015273094.2	CLC2DL4
XM_025152772.1	CLC2DL4
XR_003073541.1	LOC112531646
XR_003073508.1	LOC112531610
XM_025152826.1	LOC112532873
NM_001277125.1	DHRS4
XM_025152696.1	CARMIL3
XM_015272969.2	CARMIL3
XR_003076273.1	CARMIL3
XM_015272967.2	CARMIL3
XM_015272966.2	CARMIL3
XM_025152677.1	CARMIL3
XM_025152668.1	CARMIL3
XM_025152658.1	CARMIL3
XM_025152651.1	CARMIL3
XM_025152694.1	CARMIL3
XM_025152681.1	CARMIL3
XM_025152662.1	CARMIL3
XM_025152683.1	CARMIL3
XM_025152673.1	CARMIL3
XM_025152660.1	CARMIL3
XM_025152656.1	CARMIL3
XR_001461829.2	RNF212B
XR_001461834.2	RNF212B
XR_001461833.2	RNF212B
XR_001461830.2	RNF212B
XR_003076320.1	RNF212B
XR_003076319.1	RNF212B
XR_003076317.1	RNF212B
XR_003076306.1	RNF212B
XR_003076295.1	RNF212B
XR_003076298.1	RNF212B
XR_003076291.1	RNF212B
XR_003076316.1	RNF212B
XR_003076314.1	RNF212B
XR_003076296.1	RNF212B
XR_003076297.1	RNF212B
XR_003076280.1	RNF212B
XR_003076315.1	RNF212B
XR_003076287.1	RNF212B
XR_003076289.1	RNF212B
XR_003076312.1	RNF212B
XR_003076293.1	RNF212B
XR_003076294.1	RNF212B
XR_003076290.1	RNF212B
XR_003076277.1	RNF212B
XR_003076299.1	RNF212B
XR_003076275.1	RNF212B
XR_003076283.1	RNF212B
XR_003076318.1	RNF212B
XR_003076331.1	LOC107049418
XR_001461835.2	LOC107049418
XR_003076330.1	LOC107049418
XR_003076332.1	LOC101749441
XR_001462136.2	LOC107049791
XR_003076324.1	LOC107049791
XR_001470554.2	LOC107055491
XR_001467601.2	LOC107053477
XM_025152824.1	LOC107049847
XM_025152739.1	LOC770705
XM_015272753.2	LOC101747821
XR_003076323.1	CD69L
XM_015300817.2	CD69L
XM_025152809.1	LOC107055489
XM_025152807.1	LOC107055489
XM_025152832.1	LOC112532874
XM_025153309.1	LOC112532969
XM_025152763.1	LOC112532872
NM_001277858.1	CLC2DL3
XM_428001.6	LOC430443
XM_025152798.1	LOC430443
XM_015291512.2	GOLGB1
XM_015290459.2	GOLGB1
XM_015291011.2	GOLGB1
XM_025151055.1	HCLS1
XM_025151053.1	HCLS1
NM_001031401.1	HCLS1
XM_025151057.1	HCLS1
XM_004937383.3	OR9Q1
